,Albania,Argentina,Australia,Austria,Belgium,Brazil,Cameroon,Canada,Colombia,Costa Rica,Croatia,Czech Republic,Denmark,Ecuador,Egypt,England,Finland,France,Georgia,Germany,Ghana,Hungary,Iceland,Iran,Italy,Japan,Mexico,Morocco,Netherlands,Nigeria,North Macedonia,Panama,Peru,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Scotland,Senegal,Serbia,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,Ukraine,United States,Uruguay,Wales
Albania,1.0,-0.5674343773304044,0.7796426293488314,-0.7219957861653915,-0.03543665193068528,-0.4044516974805181,0.19149941842868423,-0.3186927006998121,-0.4004916786368614,0.8760322339486797,-0.6049103283519297,-0.49001385284518156,-0.13623343294812004,-0.2299666561323552,0.2575591366220191,-0.1924901018342221,0.6305986495698221,-0.2546550478680814,0.8537799310154109,-0.5918908694357069,0.0936478358486199,0.7765551158655494,-0.18575401480804363,0.22944939570221723,-0.249928714748788,0.28419848041871104,-0.8698756405812063,0.5092498887776722,-0.10316064215115374,-0.357106942300178,0.7796826489127128,0.711540621536711,-0.6902196078057372,0.6936541132321897,-0.5369851505703096,0.8845183055440917,0.4539104911397686,-0.17016372056226492,-0.776043650135808,0.48814519271845175,-0.3071361102235675,-0.3234392784849834,0.7008186763190757,0.45318378439078316,0.13016145513827843,-0.5706464907867121,0.09350841871264395,-0.3103047145702123,-0.3337017722311809,0.005973360465077754,0.23253391938901583,-0.4305892821786971,-0.300935158946583,0.8247440462285283
Argentina,-0.5674343773304044,1.0,-0.46014714560087083,0.42545636545833604,0.6035255376662308,0.9208223582283956,-0.5526261282697874,0.797869660814677,0.38392783065675007,-0.7820210777856104,0.8341606505948835,-0.10469337872220728,0.6271876553347734,0.7642437581555636,-0.6943883876909223,0.8553283975873376,-0.7411006948427509,0.7700618704935052,-0.5475986422438568,0.9041958791380911,-0.48144685667514336,-0.5636783810835866,-0.05156934080542514,-0.3944457022854169,0.9021932338725844,0.14980163236530075,0.3307387450667741,-0.22726918350861924,0.7941800180408625,-0.17778249564664522,-0.6951007202162034,-0.6975040839665824,-0.04179440872748704,-0.33238352629189594,0.9277294880387634,-0.6669938656807218,-0.33053681510749916,0.0945368618606578,0.21186582160453096,-0.575137094042302,-0.032095935409371154,-0.21664109189543737,-0.5379324811044046,-0.4956185883262667,-0.6827191675340821,0.9459480669665347,-0.15350262193251238,0.616069488846792,0.2061962043753011,-0.12624140447188997,0.13536742635114615,0.15384321966110623,0.7275992927485436,-0.7137103397698026
Australia,0.7796426293488314,-0.46014714560087083,0.9999999999999999,-0.695010506507111,-0.19954565131754937,-0.3187859667845661,0.28033074977767464,-0.3490126698160807,-0.21430670622658057,0.7746623163796613,-0.7342350893582711,-0.3194108306628029,-0.09122196571949018,0.06759707014440607,0.36481147984685847,-0.2113540959336608,0.6912277021143495,-0.5448554690930018,0.6331874976659783,-0.5209702042436406,-0.0009299899349486389,0.777571908286533,0.012536856715207538,0.4358344974036451,-0.3030076363469459,-0.03016907288031319,-0.7852027515368912,0.5049390523865225,-0.10784009396378175,-0.019584860383609456,0.38421868744228205,0.5811362934265996,-0.6263872653002529,0.8560503963851669,-0.5562432767989645,0.6399928434097505,0.7298030428277492,-0.17517109646716555,-0.5278594555655964,0.6598093618742391,-0.333132587672535,-0.40259614163013724,0.6807630298855565,0.3771586298952888,0.0826208845882765,-0.4832985408296012,0.23423082751277366,-0.5973504865159363,-0.0025846862898696453,-0.1831280919182768,-0.1979710636042545,-0.520399909712398,-0.017441070826510783,0.7913922844911571
Austria,-0.7219957861653915,0.42545636545833604,-0.695010506507111,0.9999999999999997,0.459642060227987,0.43684533491310507,-0.2515220373952189,0.4980596747484275,-0.14205433320261215,-0.6864141002807173,0.5458865593605268,0.3765574358640699,0.41050934867006317,0.2014605417903754,-0.11282329280555982,0.21502036872216068,-0.25495228034078177,0.28461781362806365,-0.9069038363099207,0.6663420176189762,-0.012391481308465613,-0.662840864132209,-0.26198893481291397,-0.6183828520869017,0.275208613315092,-0.2092069718968382,0.5704426781105812,-0.7861153473278363,0.3673307745770816,0.04844826356405196,-0.47407418911478216,-0.645641928420421,0.7596540359284149,-0.6788964262706823,0.41905384556770964,-0.46599252431445215,-0.838361127670154,-0.35443098066277234,0.4504021793442288,-0.06999703450400215,0.041544805947291055,0.5909296294105771,-0.2719460296213338,-0.6593373065381203,0.16020990006525654,0.6112227263397224,-0.454944906395682,0.3258773314263807,0.5719568956773727,0.6096661735488615,0.1630766203571003,0.731221604741195,0.21679023048067092,-0.5636916635488758
Belgium,-0.03543665193068528,0.6035255376662308,-0.19954565131754937,0.459642060227987,0.9999999999999999,0.6509254262983422,-0.42038665152513566,0.8768005464207996,-0.15508356404662418,-0.385659278308062,0.6005821130629526,-0.49739449941957736,0.8142965760977432,0.45873631739922394,-0.5676715293704536,0.7847159644873202,-0.2812106584182581,0.6327248141153953,-0.31813353161567504,0.7433213156334919,-0.23787216525001828,-0.39230435309838235,-0.7420039302451252,-0.8457315068881717,0.7857076523854154,0.03073283277637305,-0.07149776664760528,-0.40276253489485114,0.8405716879955514,-0.6773720832936306,-0.1147475389337197,-0.49904767708000575,-0.043418100115699854,-0.1841907513729788,0.6749766710184495,0.023922757812933577,-0.6267920309433118,-0.6005333151401743,-0.17483941058061314,-0.1027152745529747,-0.5396199031634631,0.038412448083111755,0.1592275689505592,-0.7298354042723587,-0.3566940904281653,0.7484412256652758,-0.6926176670666614,0.6389016819047801,0.1969239751915697,0.5598414563388976,0.7043064734546812,0.49628695966066344,0.29432180503283456,-0.33170789284974084
Brazil,-0.4044516974805181,0.9208223582283956,-0.3187859667845661,0.43684533491310507,0.6509254262983422,0.9999999999999998,-0.46117725883454336,0.8285304216822277,0.026382779503792846,-0.5626522742369767,0.6639115187016066,0.007497392946496888,0.5655840144704827,0.8587926410769239,-0.47968933397041263,0.7460132177413377,-0.5671051774953204,0.744808906738666,-0.49029939757995217,0.898354896818426,-0.42121340143391117,-0.32174467583154487,-0.024460894146773375,-0.34304590923603884,0.8483437469980682,0.2917287434478032,0.12897308993078424,-0.29437792910012056,0.8932719568912781,-0.25374793575755916,-0.6335788810271034,-0.6442570669911473,-0.11645537735069937,-0.19666862457529202,0.7751094514764704,-0.43311169233323105,-0.3615276261775636,0.013565687481100194,-0.04778176085865152,-0.3783292936573495,0.026602739359054835,-0.07663151498587813,-0.47991045970467316,-0.4075875160303862,-0.5169682162303973,0.9099454198373742,-0.03177261885629664,0.44231792825877225,0.2901101360625136,-0.06511176975200682,0.11704406401996395,0.17535730326237903,0.8692548518210177,-0.5477601734654375
Cameroon,0.19149941842868423,-0.5526261282697874,0.28033074977767464,-0.2515220373952189,-0.42038665152513566,-0.46117725883454336,1.0000000000000002,-0.31892805500792165,-0.2713502457933101,0.4867824366875575,-0.5178531051208067,0.2647079255198078,-0.604204842965957,-0.4117400630650693,0.5354836912374229,-0.6512565524134204,0.22898073689995602,-0.6329638430068256,0.36688186579228854,-0.44954110291963184,0.8192540356587672,0.298958201984302,0.05649309769908683,0.2563463648546993,-0.617254231569527,-0.44012555135583314,-0.09353878714994016,0.0683311174035313,-0.5840349072711783,-0.021858346166577853,0.30117358047281784,-0.04028681323775621,0.049499830807501366,0.4883403098777795,-0.5762742851562316,0.3621497023048855,0.2097826553134345,-0.18150000889307752,-0.2216227994422281,0.35398242116185713,-0.1942080662543031,0.5015538618650427,0.15277167467201808,0.20690244866471677,0.387792970762511,-0.5092007528525407,0.16983391954651245,-0.2533405077065291,-0.0072078770172478756,0.0399943131047352,-0.37142676861300106,0.15895097355177265,-0.3626833870899652,0.1469902738504501
Canada,-0.3186927006998121,0.797869660814677,-0.3490126698160807,0.4980596747484275,0.8768005464207996,0.8285304216822277,-0.31892805500792165,1.0000000000000002,-0.04460544852248872,-0.5775907620070887,0.6523427443238509,-0.3236984080488323,0.6190678715315652,0.6417334913445184,-0.6633584586337139,0.770877485551377,-0.5869719495163783,0.6753114108447255,-0.4258491116260042,0.8922542624840425,-0.16567686097485204,-0.4840784332842677,-0.5332076368540248,-0.7541610831772219,0.839909589880629,-0.08136519016705734,0.22167229372309033,-0.42483537247345793,0.8029582153357473,-0.592636643645188,-0.42364228816825106,-0.7321515649898924,0.06427962950583446,-0.2736589020998604,0.813286644250786,-0.22872969412911676,-0.5862937359477425,-0.42708629843945334,-0.013488462241494524,-0.35783809830067614,-0.32888252237955895,0.13583231740017737,-0.203581367678482,-0.772585005141139,-0.4590065113581278,0.877080856251318,-0.5103428630677888,0.6248076393930938,0.15942946793846519,0.2882805404448127,0.5291096286626412,0.5567119850161043,0.5261813444983447,-0.6254325191005067
Colombia,-0.4004916786368614,0.38392783065675007,-0.21430670622658057,-0.14205433320261215,-0.15508356404662418,0.026382779503792846,-0.2713502457933101,-0.04460544852248872,1.0,-0.5407004013642303,0.4498921480314831,-0.2098951225393095,0.189099161817946,0.08754223958360209,-0.5596296856637798,0.38622951795886007,-0.44629739593958423,0.10384246338821475,-0.0980101852514253,0.07550206268086358,-0.24400565199779686,-0.4306913044605617,0.18979421071249408,0.09540711686051638,0.24844252081498208,-0.18321067736097174,0.3790694952110419,0.39467656706581217,-0.07398273829070261,0.32537323743828006,-0.26877374080728494,-0.15119306997485044,-0.08402695657181788,-0.10236344081251847,0.4226546590359007,-0.7048691866599799,0.32000980476517155,0.38359489035566746,0.48487615260951117,-0.4589494632051419,-0.09557280877955869,-0.5682705933558817,-0.24773961565740926,-0.04581161859316331,-0.6460158962146336,0.1890408825800834,-0.034237279335011916,0.3911684352300305,-0.04810591094789422,-0.4050725939720019,-0.19391830993766754,-0.33822904611537574,-0.01824955913280684,-0.35956426698621546
Costa Rica,0.8760322339486797,-0.7820210777856104,0.7746623163796613,-0.6864141002807173,-0.385659278308062,-0.5626522742369767,0.4867824366875575,-0.5775907620070887,-0.5407004013642303,1.0,-0.839134084080446,-0.0557736884039431,-0.47368217200290075,-0.36271264523373864,0.6501697622946292,-0.5920313080456361,0.7258581573775148,-0.5276558490438326,0.783629556023157,-0.7582701646141753,0.2769902279021263,0.8731612271208916,0.11432453559269383,0.5136895542139929,-0.6001511345558525,0.21367900479035132,-0.7614500701457388,0.4011051246815578,-0.3883902094433351,-0.07156044590243155,0.6794441952610252,0.7048407908700799,-0.49771306049744535,0.7053963399714452,-0.8216567936820717,0.8735857747684115,0.5170842763433446,-0.027680545062685222,-0.6741129490971852,0.5999256469673876,-0.04177899983791694,-0.053819186135701254,0.5446496624013737,0.643085641140055,0.41832749751663917,-0.7777130722336055,0.3807305053439259,-0.6140160538007018,-0.24621370065957335,-0.0991704873700161,-0.14191898431971295,-0.40975071239427346,-0.31451547655753226,0.851446912529514
